log(T) log(cool/n^2) log(heat/n^2)
1.0 -27.943095148663527 -24.804100347590765
1.1000257301078626 -27.801342913045577 -24.804100347590765
1.2000292665537704 -27.614393726401687 -24.806875401645538
1.299942900022767 -27.3829996588791 -24.806875401645538
1.4000196350651586 -27.12436006299583 -24.806875401645538
1.4999618655961902 -26.872895201635192 -24.80966830182971
1.599992177584098 -26.642065152999546 -24.80966830182971
1.7000110623221123 -26.43297363384094 -24.80966830182971
1.8000293592441343 -26.239577516576787 -24.812479279163536
1.899984562549391 -26.049635145623878 -24.812479279163536
2.0 -25.860120913598763 -24.815308569182402
2.1000257301078626 -25.66958622665081 -24.815308569182402
2.2000292665537704 -25.49214412830417 -24.818156412055227
2.299942900022767 -25.33068311943389 -24.818156412055227
2.4000196350651586 -25.190440285364733 -24.82102305270683
2.49996186559619 -25.073657553374346 -24.82390874094432
2.599992177584098 -24.97469413473523 -24.82390874094432
2.7000110623221123 -24.89279003035213 -24.826813731587727
2.8000293592441343 -24.82102305270683 -24.829738284605043
2.899984562549391 -24.7594507517174 -24.832682665251824
3.0 -24.703334809738468 -24.835647144215564
3.1000257301078626 -24.65364702554936 -24.838631997765024
3.2000292665537704 -24.605548319173785 -24.84163750790475
3.299942900022767 -24.554395796726403 -24.844663962534938
3.4000196350651586 -24.50445566245355 -24.85078088734462
3.49996186559619 -24.447331783887808 -24.853871964321762
3.599992177584098 -24.381951903287906 -24.856985199745903
3.7000110623221123 -24.30102999566398 -24.863279432843594
3.8000293592441343 -24.18111458540599 -24.869666231504993
3.899984562549391 -23.99567862621736 -24.872895201635192
4.0 -23.625251653989896 -24.87942606879415
4.100025730107863 -22.910094888560604 -24.89279003035213
4.20002926655377 -22.024108863598208 -25.066512712151294
4.299942900022767 -21.829738284605043 -25.53313237964589
4.400019635065158 -21.931814138253838 -25.774690718274137
4.49996186559619 -21.92445303860747 -26.158640529545146
4.599992177584098 -21.832682665251824 -26.52870828894106
4.700011062322113 -21.692503962086786 -26.6458915608526
4.800029359244134 -21.511449283499555 -26.71669877129645
4.899984562549391 -21.336299074610352 -26.97881070093006
5.0 -21.27490547891853 -26.99567862621736
5.100025730107863 -21.2958494831602 -27.05749589383192
5.20002926655377 -21.276544327964814 -27.197910742118268
5.299942900022767 -21.262012673666568 -27.346787486224656
5.400019635065158 -21.26600071346161 -27.448550002027126
5.49996186559619 -21.443697499232712 -27.481486060122112
5.599992177584098 -21.657577319177793 -27.581698708680253
5.700011062322113 -21.707743928643524 -27.686132779630846
5.800029359244134 -21.769551078621728 -27.787812395596042
5.899984562549391 -21.829738284605043 -27.882728704344235
6.0 -21.838631997765024 -27.97469413473523
6.100025730107863 -21.863279432843594 -28.060980223551333
6.20002926655377 -21.91364016932525 -28.1444808443322
6.299942900022767 -22.05601112492623 -28.24565166428898
6.400019635065158 -22.22767829327708 -28.369572124974976
6.49996186559619 -22.34582345812204 -28.460923901207224
6.599992177584098 -22.417936637088292 -28.488116639021126
6.700011062322113 -22.448550002027126 -28.494850021680094
6.800029359244134 -22.454692883534175 -28.46980030179692
6.899984562549391 -22.454692883534175 -28.443697499232712
7.0 -22.467245621007503 -28.429457060118104
7.100025730107863 -22.518557371497696 -28.459670525209127
7.20002926655377 -22.600326278518963 -28.55129368009492
7.299942900022767 -22.65169513695184 -28.642065152999546
7.400019635065158 -22.66554624884907 -28.7594507517174
7.49996186559619 -22.65364702554936 -28.920818753952375
7.599992177584098 -22.628932137728263 -29.049148541111453
7.700011062322113 -22.595166283380063 -29.154281982033343
7.800029359244134 -22.557520230935552 -29.270025714300445
7.899984562549391 -22.515700160653214 -29.402304814074487
8.0 -22.473660722610155 -29.537602002101043
8.100025730107863 -22.42829116819131 -29.66958622665081
8.20002926655377 -22.380906669373257 -29.79317412396815
8.299942900022767 -22.33161408331 -29.906578314837766
8.400019635065158 -22.27901425584626 -30.014124642691606
8.499961865596191 -22.222573177610688 -30.115771230367397
8.599992177584099 -22.16241156176449 -30.213958789757445
8.700011062322112 -22.09799710864927 -30.30715308072277
8.800029359244133 -22.027797161620935 -30.39469495385889
8.899984562549392 -21.950781977329818 -30.476253533188437
9.0 -21.866461091629784 -30.549750891680638
